,Datetime,Tweet Id,Text,Username
72,2021-03-14 08:23:03+00:00,1371013997902716930,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

           ",NeelamDhimanBJP
73,2021-03-14 07:40:31+00:00,1371003291094544386,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

     ",FarhanJagmalwa
74,2021-03-14 07:24:11+00:00,1370999179951054848,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

     ",DrAyoovkhnBJP
75,2021-03-14 06:30:17+00:00,1370985615437664257,"अगर रोकना चाहते हो कोरोना का फैलना, तो बंद करो खुले में इधर-उधर थूकना। 

    
  

                    ",FOBSrinagar
76,2021-03-14 06:26:49+00:00,1370984745924894720,"  

बस में हो या मेट्रो में, यात्रा के दौरान हर जगह मास्क पहने रहें और खुद को सुरक्षित रखें। 2 गज की दूरी, मास्क है ज़रूरी। 

           ",FOBSrinagar
77,2021-03-14 06:22:23+00:00,1370983627425599490,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

     ",AjayJha08
78,2021-03-14 04:16:11+00:00,1370951870877855745,"विश्व के सबसे बड़े टीकाकरण अभियान से   पर काबू पा रहा भारत।
     ",RakeshGiriBJP
79,2021-03-14 03:21:25+00:00,1370938087073849344,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

   ",irahulharoli
80,2021-03-13 17:33:34+00:00,1370790148259020800,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।
12 मार्च को लगे 20.53 लाख से अधिक टीके।
अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।
   
               ",setiyar
81,2021-03-13 15:50:35+00:00,1370764232409579525,"विश्व के सबसे बड़े टीकाकरण अभियान से कोरोना पर काबू पा रहा भारत।

12 मार्च को लगे 20.53 लाख से अधिक टीके।

अब तक देश में 2.82 करोड़ से अधिक लोगों का टीकाकरण हो चुका है।

     ",sulakshyasingh
